-0.32340000000000324043 , -nan(ind) , -nan(ind) , -nan(ind)
-0.3192000000000032589 , -nan(ind) , -nan(ind) , -nan(ind)
-0.31500000000000327738 , -nan(ind) , -nan(ind) , -nan(ind)
-0.31080000000000329585 , -nan(ind) , -nan(ind) , -nan(ind)
-0.30660000000000331433 , -nan(ind) , -nan(ind) , -nan(ind)
-0.3024000000000033328 , -nan(ind) , -nan(ind) , -nan(ind)
-0.29820000000000335127 , -nan(ind) , -nan(ind) , -nan(ind)
-0.29400000000000336975 , -nan(ind) , -nan(ind) , -nan(ind)
-0.28980000000000338822 , -nan(ind) , -nan(ind) , -nan(ind)
-0.2856000000000034067 , -nan(ind) , -nan(ind) , -nan(ind)
-0.28140000000000342517 , -nan(ind) , -nan(ind) , -nan(ind)
-0.27720000000000344365 , -nan(ind) , -nan(ind) , -nan(ind)
-0.27300000000000346212 , -nan(ind) , -nan(ind) , -nan(ind)
-0.26880000000000348059 , -nan(ind) , -nan(ind) , -nan(ind)
-0.26460000000000349907 , -nan(ind) , -nan(ind) , -nan(ind)
-0.26040000000000351754 , -nan(ind) , -nan(ind) , -nan(ind)
-0.25620000000000353602 , -nan(ind) , -nan(ind) , -nan(ind)
-0.25200000000000355449 , -nan(ind) , -nan(ind) , -nan(ind)
-0.24780000000000354521 , -nan(ind) , -nan(ind) , -nan(ind)
-0.24360000000000353593 , -nan(ind) , -nan(ind) , -nan(ind)
-0.23940000000000352665 , -nan(ind) , -nan(ind) , -nan(ind)
-0.23520000000000351736 , -nan(ind) , -nan(ind) , -nan(ind)
-0.23100000000000350808 , -nan(ind) , -nan(ind) , -nan(ind)
-0.2268000000000034988 , -nan(ind) , -nan(ind) , -nan(ind)
-0.22260000000000348952 , -nan(ind) , -nan(ind) , -nan(ind)
-0.21840000000000348024 , -nan(ind) , -nan(ind) , -nan(ind)
-0.21420000000000347096 , -nan(ind) , -nan(ind) , -nan(ind)
-0.21000000000000346168 , -nan(ind) , -nan(ind) , -nan(ind)
-0.20580000000000345239 , -nan(ind) , -nan(ind) , -nan(ind)
-0.20160000000000344311 , -nan(ind) , -nan(ind) , -nan(ind)
-0.19740000000000343383 , -nan(ind) , -nan(ind) , -nan(ind)
-0.19320000000000342455 , -nan(ind) , -nan(ind) , -nan(ind)
-0.18900000000000341527 , -nan(ind) , -nan(ind) , -nan(ind)
-0.18480000000000340599 , -nan(ind) , -nan(ind) , -nan(ind)
-0.18060000000000339671 , -nan(ind) , -nan(ind) , -nan(ind)
-0.17640000000000338742 , -nan(ind) , -nan(ind) , -nan(ind)
-0.17220000000000337814 , -nan(ind) , -nan(ind) , -nan(ind)
-0.16800000000000336886 , -nan(ind) , -nan(ind) , -nan(ind)
-0.16380000000000335958 , -nan(ind) , -nan(ind) , -nan(ind)
-0.1596000000000033503 , -nan(ind) , -nan(ind) , -nan(ind)
-0.15540000000000334102 , -nan(ind) , -nan(ind) , -nan(ind)
-0.15120000000000333173 , -nan(ind) , -nan(ind) , -nan(ind)
-0.14700000000000332245 , -nan(ind) , -nan(ind) , -nan(ind)
-0.14280000000000331317 , -nan(ind) , -nan(ind) , -nan(ind)
-0.13860000000000330389 , -nan(ind) , -nan(ind) , -nan(ind)
-0.13440000000000329461 , -nan(ind) , -nan(ind) , -nan(ind)
-0.13020000000000328533 , -nan(ind) , -nan(ind) , -nan(ind)
-0.12600000000000327605 , -nan(ind) , -nan(ind) , -nan(ind)
-0.12180000000000328064 , -nan(ind) , -nan(ind) , -nan(ind)
-0.11760000000000328524 , -nan(ind) , -nan(ind) , -nan(ind)
-0.11340000000000328984 , -nan(ind) , -nan(ind) , -nan(ind)
-0.10920000000000329443 , -nan(ind) , -nan(ind) , -nan(ind)
-0.10500000000000329903 , -nan(ind) , -nan(ind) , -nan(ind)
-0.10080000000000330362 , -nan(ind) , -nan(ind) , -nan(ind)
-0.09660000000000330822 , -nan(ind) , -nan(ind) , -nan(ind)
-0.092400000000003312817 , -nan(ind) , -nan(ind) , -nan(ind)
-0.088200000000003317413 , -nan(ind) , -nan(ind) , -nan(ind)
-0.084000000000003322009 , -nan(ind) , -nan(ind) , -nan(ind)
-0.079800000000003326606 , -nan(ind) , -nan(ind) , -nan(ind)
-0.075600000000003331202 , -nan(ind) , -nan(ind) , -nan(ind)
-0.071400000000003335798 , -nan(ind) , -nan(ind) , -nan(ind)
-0.067200000000003340395 , -nan(ind) , -nan(ind) , -nan(ind)
-0.063000000000003344991 , -nan(ind) , -nan(ind) , -nan(ind)
-0.058800000000003342648 , -nan(ind) , -nan(ind) , -nan(ind)
-0.054600000000003340306 , -nan(ind) , -nan(ind) , -nan(ind)
-0.050400000000003337963 , -nan(ind) , -nan(ind) , -nan(ind)
-0.046200000000003335621 , -nan(ind) , -nan(ind) , -nan(ind)
-0.042000000000003333278 , -nan(ind) , -nan(ind) , -nan(ind)
-0.037800000000003330936 , -nan(ind) , -nan(ind) , -nan(ind)
-0.033600000000003328593 , -nan(ind) , -nan(ind) , -nan(ind)
-0.02940000000000332625 , -nan(ind) , -nan(ind) , -nan(ind)
-0.025200000000003323908 , -nan(ind) , -nan(ind) , -nan(ind)
-0.021000000000003321565 , -nan(ind) , -nan(ind) , -nan(ind)
-0.016800000000003319223 , -nan(ind) , -nan(ind) , -nan(ind)
-0.012600000000003318615 , -nan(ind) , -nan(ind) , -nan(ind)
-0.008400000000003318007 , -nan(ind) , -nan(ind) , -nan(ind)
-0.0042000000000033173991 , -nan(ind) , -nan(ind) , -nan(ind)
-3.3167912860676551645e-15 , -nan(ind) , -nan(ind) , -nan(ind)
0.0041999999999966838166 , -nan(ind) , -nan(ind) , -nan(ind)
0.0083999999999966844244 , -nan(ind) , -nan(ind) , -nan(ind)
0.012599999999996685032 , -nan(ind) , -nan(ind) , -nan(ind)
0.01679999999999668564 , -nan(ind) , -nan(ind) , -nan(ind)
0.020999999999996687983 , -nan(ind) , -nan(ind) , -nan(ind)
0.025199999999996690325 , -nan(ind) , -nan(ind) , -nan(ind)
0.029399999999996692668 , -nan(ind) , -nan(ind) , -nan(ind)
0.03359999999999669501 , -nan(ind) , -nan(ind) , -nan(ind)
0.037799999999996697353 , -nan(ind) , -nan(ind) , -nan(ind)
0.041999999999996699696 , -nan(ind) , -nan(ind) , -nan(ind)
0.046199999999996702038 , -nan(ind) , -nan(ind) , -nan(ind)
0.050399999999996704381 , -nan(ind) , -nan(ind) , -nan(ind)
0.054599999999996706723 , -nan(ind) , -nan(ind) , -nan(ind)
0.058799999999996709066 , -nan(ind) , -nan(ind) , -nan(ind)
0.062999999999996711408 , -nan(ind) , -nan(ind) , -nan(ind)
0.067199999999996706812 , -nan(ind) , -nan(ind) , -nan(ind)
0.071399999999996702216 , -nan(ind) , -nan(ind) , -nan(ind)
0.075599999999996697619 , -nan(ind) , -nan(ind) , -nan(ind)
0.079799999999996693023 , -nan(ind) , -nan(ind) , -nan(ind)
0.083999999999996688427 , -nan(ind) , -nan(ind) , -nan(ind)
0.08819999999999668383 , -nan(ind) , -nan(ind) , -nan(ind)
0.092399999999996679234 , -nan(ind) , -nan(ind) , -nan(ind)
0.096599999999996674638 , -nan(ind) , -nan(ind) , -nan(ind)
0.10079999999999667004 , -nan(ind) , -nan(ind) , -nan(ind)
0.10499999999999666545 , -nan(ind) , -nan(ind) , -nan(ind)
0.10919999999999666085 , -nan(ind) , -nan(ind) , -nan(ind)
0.11339999999999665625 , -nan(ind) , -nan(ind) , -nan(ind)
0.11759999999999665166 , -nan(ind) , -nan(ind) , -nan(ind)
0.12179999999999664706 , -nan(ind) , -nan(ind) , -nan(ind)
0.12599999999999664246 , -nan(ind) , -nan(ind) , -nan(ind)
0.13019999999999665174 , -nan(ind) , -nan(ind) , -nan(ind)
0.13439999999999666103 , -nan(ind) , -nan(ind) , -nan(ind)
0.13859999999999667031 , -nan(ind) , -nan(ind) , -nan(ind)
0.14279999999999667959 , -nan(ind) , -nan(ind) , -nan(ind)
0.14699999999999668887 , -nan(ind) , -nan(ind) , -nan(ind)
0.15119999999999669815 , -nan(ind) , -nan(ind) , -nan(ind)
0.15539999999999670743 , -nan(ind) , -nan(ind) , -nan(ind)
0.15959999999999671672 , -nan(ind) , -nan(ind) , -nan(ind)
0.163799999999996726 , -nan(ind) , -nan(ind) , -nan(ind)
0.16799999999999673528 , -nan(ind) , -nan(ind) , -nan(ind)
0.17219999999999674456 , -nan(ind) , -nan(ind) , -nan(ind)
0.17639999999999675384 , -nan(ind) , -nan(ind) , -nan(ind)
0.18059999999999676312 , -nan(ind) , -nan(ind) , -nan(ind)
0.1847999999999967724 , -nan(ind) , -nan(ind) , -nan(ind)
0.18899999999999678169 , -nan(ind) , -nan(ind) , -nan(ind)
0.19319999999999679097 , -nan(ind) , -nan(ind) , -nan(ind)
0.19739999999999680025 , -nan(ind) , -nan(ind) , -nan(ind)
0.20159999999999680953 , -nan(ind) , -nan(ind) , -nan(ind)
0.20579999999999681881 , -nan(ind) , -nan(ind) , -nan(ind)
0.20999999999999682809 , -nan(ind) , -nan(ind) , -nan(ind)
0.21419999999999683737 , -nan(ind) , -nan(ind) , -nan(ind)
0.21839999999999684666 , -nan(ind) , -nan(ind) , -nan(ind)
0.22259999999999685594 , -nan(ind) , -nan(ind) , -nan(ind)
0.22679999999999686522 , -nan(ind) , -nan(ind) , -nan(ind)
0.2309999999999968745 , -nan(ind) , -nan(ind) , -nan(ind)
0.23519999999999688378 , -nan(ind) , -nan(ind) , -nan(ind)
0.23939999999999689306 , -nan(ind) , -nan(ind) , -nan(ind)
0.24359999999999690234 , -nan(ind) , -nan(ind) , -nan(ind)
0.24779999999999691163 , -nan(ind) , -nan(ind) , -nan(ind)
0.25199999999999689315 , -nan(ind) , -nan(ind) , -nan(ind)
0.25619999999999687468 , -nan(ind) , -nan(ind) , -nan(ind)
0.2603999999999968562 , -nan(ind) , -nan(ind) , -nan(ind)
0.26459999999999683773 , -nan(ind) , -nan(ind) , -nan(ind)
0.26879999999999681926 , -nan(ind) , -nan(ind) , -nan(ind)
0.27299999999999680078 , -nan(ind) , -nan(ind) , -nan(ind)
0.27719999999999678231 , -nan(ind) , -nan(ind) , -nan(ind)
0.28139999999999676383 , -nan(ind) , -nan(ind) , -nan(ind)
0.28559999999999674536 , -nan(ind) , -nan(ind) , -nan(ind)
0.28979999999999672688 , -nan(ind) , -nan(ind) , -nan(ind)
0.29399999999999670841 , -nan(ind) , -nan(ind) , -nan(ind)
0.29819999999999668994 , -nan(ind) , -nan(ind) , -nan(ind)
0.30239999999999667146 , -nan(ind) , -nan(ind) , -nan(ind)
0.30659999999999665299 , -nan(ind) , -nan(ind) , -nan(ind)
0.31079999999999663451 , -nan(ind) , -nan(ind) , -nan(ind)
0.31499999999999661604 , -nan(ind) , -nan(ind) , -nan(ind)
0.31919999999999659757 , -nan(ind) , -nan(ind) , -nan(ind)
0.32339999999999657909 , -nan(ind) , -nan(ind) , -nan(ind)
0.32759999999999656062 , -nan(ind) , -nan(ind) , -nan(ind)
0.33179999999999654214 , -nan(ind) , -nan(ind) , -nan(ind)
0.33599999999999652367 , -nan(ind) , -nan(ind) , -nan(ind)
0.3401999999999965052 , -nan(ind) , -nan(ind) , -nan(ind)
0.34439999999999648672 , -nan(ind) , -nan(ind) , -nan(ind)
0.34859999999999646825 , -nan(ind) , -nan(ind) , -nan(ind)
0.35279999999999644977 , -nan(ind) , -nan(ind) , -nan(ind)
0.3569999999999964313 , -nan(ind) , -nan(ind) , -nan(ind)
0.36119999999999641282 , -nan(ind) , -nan(ind) , -nan(ind)
0.36539999999999639435 , -nan(ind) , -nan(ind) , -nan(ind)
0.36959999999999637588 , -nan(ind) , -nan(ind) , -nan(ind)
0.3737999999999963574 , -nan(ind) , -nan(ind) , -nan(ind)
0.37799999999999633893 , -nan(ind) , -nan(ind) , -nan(ind)
0.38219999999999632045 , -nan(ind) , -nan(ind) , -nan(ind)
0.38639999999999630198 , -nan(ind) , -nan(ind) , -nan(ind)
0.39059999999999628351 , -nan(ind) , -nan(ind) , -nan(ind)
0.39479999999999626503 , -nan(ind) , -nan(ind) , -nan(ind)
